"Step","EXPIL-phi8 - reward","EXPIL-phi8 - reward__MIN","EXPIL-phi8 - reward__MAX","phi1-rho1 - reward","phi1-rho1 - reward__MIN","phi1-rho1 - reward__MAX","rho100-phi90-notexist - reward","rho100-phi90-notexist - reward__MIN","rho100-phi90-notexist - reward__MAX"
"2000","-6.74","-6.74","-6.74","-20.48","-20.48","-20.48","-15.02","-15.02","-15.02"
"4000","-17.93","-17.93","-17.93","-23.5","-23.5","-23.5","-13.78","-13.78","-13.78"
"6000","-12.16","-12.16","-12.16","-19.57","-19.57","-19.57","-11.63","-11.63","-11.63"
"8000","-6.65","-6.65","-6.65","-15.47","-15.47","-15.47","-11.59","-11.59","-11.59"
"10000","4.31","4.31","4.31","-15.47","-15.47","-15.47","-3.09","-3.09","-3.09"
"12000","8.25","8.25","8.25","-22.29","-22.29","-22.29","-3.96","-3.96","-3.96"
"14000","-9.72","-9.72","-9.72","-17.08","-17.08","-17.08","-15.62","-15.62","-15.62"
"16000","-6.72","-6.72","-6.72","-20.44","-20.44","-20.44","-7.19","-7.19","-7.19"
"18000","-2.95","-2.95","-2.95","-28.27","-28.27","-28.27","-9.15","-9.15","-9.15"
"20000","-15.1","-15.1","-15.1","-19.83","-19.83","-19.83","-0.44","-0.44","-0.44"
"22000","-15.92","-15.92","-15.92","-21","-21","-21","-9.17","-9.17","-9.17"
"24000","-7.75","-7.75","-7.75","-21.06","-21.06","-21.06","-0.97","-0.97","-0.97"
"26000","-16.42","-16.42","-16.42","-15.53","-15.53","-15.53","8.74","8.74","8.74"
"28000","-28.02","-28.02","-28.02","-21.25","-21.25","-21.25","5.87","5.87","5.87"
"30000","-12.51","-12.51","-12.51","-19.5","-19.5","-19.5","6.52","6.52","6.52"
"32000","1.84","1.84","1.84","-18.92","-18.92","-18.92","3.22","3.22","3.22"
"34000","-1.48","-1.48","-1.48","-19.73","-19.73","-19.73","15.22","15.22","15.22"
"36000","-10.34","-10.34","-10.34","-21.3","-21.3","-21.3","17.47","17.47","17.47"
"38000","-7.11","-7.11","-7.11","-18.44","-18.44","-18.44","11.08","11.08","11.08"
"40000","-2.22","-2.22","-2.22","-20.59","-20.59","-20.59","8.28","8.28","8.28"
"42000","2.21","2.21","2.21","-19","-19","-19","11.83","11.83","11.83"
"44000","-9.22","-9.22","-9.22","-24.97","-24.97","-24.97","18.34","18.34","18.34"
"46000","-5.28","-5.28","-5.28","-22.65","-22.65","-22.65","17.66","17.66","17.66"
"48000","-6.41","-6.41","-6.41","-16.95","-16.95","-16.95","14.37","14.37","14.37"
"50000","-23.68","-23.68","-23.68","-20.21","-20.21","-20.21","17.87","17.87","17.87"
"52000","-10.94","-10.94","-10.94","-19.48","-19.48","-19.48","14.66","14.66","14.66"
"54000","-14.38","-14.38","-14.38","-22.31","-22.31","-22.31","14.51","14.51","14.51"
"56000","-14.58","-14.58","-14.58","-19.49","-19.49","-19.49","13.13","13.13","13.13"
"58000","-10.44","-10.44","-10.44","-19.35","-19.35","-19.35","12.2","12.2","12.2"
"60000","-9.11","-9.11","-9.11","-18.54","-18.54","-18.54","16.58","16.58","16.58"
"62000","-1.39","-1.39","-1.39","-25.96","-25.96","-25.96","16.76","16.76","16.76"
"64000","-4.56","-4.56","-4.56","-19.09","-19.09","-19.09","9.89","9.89","9.89"
"66000","-6.21","-6.21","-6.21","-22.53","-22.53","-22.53","18.76","18.76","18.76"
"68000","-15.57","-15.57","-15.57","-18.7","-18.7","-18.7","14.69","14.69","14.69"
"70000","-5.66","-5.66","-5.66","-19.83","-19.83","-19.83","11.28","11.28","11.28"
"72000","-0.94","-0.94","-0.94","-23.42","-23.42","-23.42","14.29","14.29","14.29"
"74000","-14.65","-14.65","-14.65","-21.49","-21.49","-21.49","15.41","15.41","15.41"
"76000","-16.76","-16.76","-16.76","-21.82","-21.82","-21.82","19.51","19.51","19.51"
"78000","-6.76","-6.76","-6.76","-16.78","-16.78","-16.78","12.59","12.59","12.59"
"80000","-12.83","-12.83","-12.83","-20.44","-20.44","-20.44","12.04","12.04","12.04"
"82000","-25.14","-25.14","-25.14","-26.98","-26.98","-26.98","16.39","16.39","16.39"
"84000","-6.66","-6.66","-6.66","-20.22","-20.22","-20.22","14.74","14.74","14.74"
"86000","2.32","2.32","2.32","-18.5","-18.5","-18.5","19.93","19.93","19.93"
