"Step","rho-8 - reward","rho-8 - reward__MIN","rho-8 - reward__MAX","phi8 - reward","phi8 - reward__MIN","phi8 - reward__MAX","phirho8 - reward","phirho8 - reward__MIN","phirho8 - reward__MAX","phi10 - reward","phi10 - reward__MIN","phi10 - reward__MAX","EXPIL-phi8 - reward","EXPIL-phi8 - reward__MIN","EXPIL-phi8 - reward__MAX","Loot-phi1 - reward","Loot-phi1 - reward__MIN","Loot-phi1 - reward__MAX"
"2000","0.29","0.29","0.29","0.71","0.71","0.71","0.05","0.05","0.05","0.91","0.91","0.91","0.67","0.67","0.67","0.51","0.51","0.51"
"4000","0.72","0.72","0.72","0.55","0.55","0.55","1.42","1.42","1.42","0.44","0.44","0.44","1","1","1","0.09","0.09","0.09"
"6000","0.22","0.22","0.22","1.01","1.01","1.01","1.41","1.41","1.41","0.5","0.5","0.5","1.42","1.42","1.42","0.79","0.79","0.79"
"8000","0.02","0.02","0.02","2.06","2.06","2.06","1.07","1.07","1.07","2.07","2.07","2.07","1.38","1.38","1.38","0.32","0.32","0.32"
"10000","0.78","0.78","0.78","2.07","2.07","2.07","1.76","1.76","1.76","1.49","1.49","1.49","1","1","1","0.23","0.23","0.23"
"12000","0.59","0.59","0.59","2.75","2.75","2.75","1.3","1.3","1.3","1.45","1.45","1.45","2.01","2.01","2.01","0.65","0.65","0.65"
"14000","0.61","0.61","0.61","2.59","2.59","2.59","0.93","0.93","0.93","1.95","1.95","1.95","2.5","2.5","2.5","0.68","0.68","0.68"
"16000","1.02","1.02","1.02","2.28","2.28","2.28","1.03","1.03","1.03","0.95","0.95","0.95","2.3","2.3","2.3","-0.62","-0.62","-0.62"
"18000","0.09","0.09","0.09","3.77","3.77","3.77","1.8","1.8","1.8","2.05","2.05","2.05","2.2","2.2","2.2","-0.36","-0.36","-0.36"
"20000","0.46","0.46","0.46","3.37","3.37","3.37","1.06","1.06","1.06","1.81","1.81","1.81","2.58","2.58","2.58","0.34","0.34","0.34"
"22000","0.25","0.25","0.25","3.45","3.45","3.45","2.04","2.04","2.04","2.33","2.33","2.33","2.99","2.99","2.99","-0.22","-0.22","-0.22"
"24000","0.98","0.98","0.98","4.12","4.12","4.12","2.63","2.63","2.63","1.53","1.53","1.53","3.94","3.94","3.94","0.11","0.11","0.11"
"26000","0","0","0","3.82","3.82","3.82","1.71","1.71","1.71","2.18","2.18","2.18","4.2","4.2","4.2","0.13","0.13","0.13"
"28000","0.44","0.44","0.44","4.41","4.41","4.41","1.62","1.62","1.62","2.7","2.7","2.7","3.63","3.63","3.63","-0.5","-0.5","-0.5"
"30000","-0.22","-0.22","-0.22","4.54","4.54","4.54","1.95","1.95","1.95","2.42","2.42","2.42","3.83","3.83","3.83","0.11","0.11","0.11"
"32000","0","0","0","4.01","4.01","4.01","1.8","1.8","1.8","2.76","2.76","2.76","3.5","3.5","3.5","-0.02","-0.02","-0.02"
"34000","-0.62","-0.62","-0.62","4.08","4.08","4.08","0.71","0.71","0.71","2.72","2.72","2.72","4.04","4.04","4.04","-0.12","-0.12","-0.12"
"36000","-0.62","-0.62","-0.62","4.03","4.03","4.03","3.12","3.12","3.12","1.59","1.59","1.59","4.89","4.89","4.89","-0.25","-0.25","-0.25"
"38000","-0.37","-0.37","-0.37","4.48","4.48","4.48","3.02","3.02","3.02","3.33","3.33","3.33","3.54","3.54","3.54","0.13","0.13","0.13"
"40000","0.25","0.25","0.25","4.49","4.49","4.49","1.82","1.82","1.82","3.31","3.31","3.31","4.73","4.73","4.73","0.17","0.17","0.17"
"42000","-0.25","-0.25","-0.25","4.66","4.66","4.66","1.42","1.42","1.42","2.71","2.71","2.71","4.34","4.34","4.34","-0.25","-0.25","-0.25"
"44000","0.13","0.13","0.13","3.91","3.91","3.91","2.42","2.42","2.42","2.59","2.59","2.59","4.94","4.94","4.94","0.25","0.25","0.25"
"46000","0.23","0.23","0.23","4.21","4.21","4.21","1.84","1.84","1.84","3.37","3.37","3.37","4.26","4.26","4.26","0.13","0.13","0.13"
"48000","-0.24","-0.24","-0.24","4.25","4.25","4.25","2.3","2.3","2.3","2.83","2.83","2.83","3.33","3.33","3.33","0.38","0.38","0.38"
"50000","-0.48","-0.48","-0.48","4.18","4.18","4.18","2.38","2.38","2.38","2.9","2.9","2.9","3.78","3.78","3.78","-0.25","-0.25","-0.25"
"52000","-0.12","-0.12","-0.12","3.53","3.53","3.53","1.67","1.67","1.67","3.28","3.28","3.28","3.92","3.92","3.92","-0.37","-0.37","-0.37"
"54000","-0.12","-0.12","-0.12","4.04","4.04","4.04","2.08","2.08","2.08","3.55","3.55","3.55","4.66","4.66","4.66","0.11","0.11","0.11"
"56000","-0.37","-0.37","-0.37","4.14","4.14","4.14","1.8","1.8","1.8","3.61","3.61","3.61","3.84","3.84","3.84","0","0","0"
"58000","-0.37","-0.37","-0.37","3.58","3.58","3.58","2.99","2.99","2.99","2.69","2.69","2.69","4.23","4.23","4.23","-0.37","-0.37","-0.37"
"60000","0.11","0.11","0.11","4.62","4.62","4.62","2.96","2.96","2.96","3.7","3.7","3.7","3.98","3.98","3.98","0","0","0"
"62000","-0.25","-0.25","-0.25","5.25","5.25","5.25","3.43","3.43","3.43","4","4","4","4.14","4.14","4.14","-0.62","-0.62","-0.62"
"64000","-0.25","-0.25","-0.25","3.3","3.3","3.3","2.6","2.6","2.6","3.6","3.6","3.6","3.73","3.73","3.73","-0.25","-0.25","-0.25"
"66000","-0.12","-0.12","-0.12","5","5","5","2.58","2.58","2.58","3.72","3.72","3.72","3.49","3.49","3.49","0.24","0.24","0.24"
"68000","0","0","0","4.05","4.05","4.05","2.91","2.91","2.91","4.18","4.18","4.18","4.34","4.34","4.34","-0.12","-0.12","-0.12"
"70000","-0.12","-0.12","-0.12","4.86","4.86","4.86","3.03","3.03","3.03","3.3","3.3","3.3","5.25","5.25","5.25","0.54","0.54","0.54"
"72000","0","0","0","4.03","4.03","4.03","3.46","3.46","3.46","3.98","3.98","3.98","4.27","4.27","4.27","-0.25","-0.25","-0.25"
"74000","0.11","0.11","0.11","4.43","4.43","4.43","2.8","2.8","2.8","3.69","3.69","3.69","4.25","4.25","4.25","0.13","0.13","0.13"
"76000","-0.12","-0.12","-0.12","4.25","4.25","4.25","2.65","2.65","2.65","1.88","1.88","1.88","4.37","4.37","4.37","0.27","0.27","0.27"
"78000","-0.5","-0.5","-0.5","3.98","3.98","3.98","2.11","2.11","2.11","2.8","2.8","2.8","3.24","3.24","3.24","0.59","0.59","0.59"
"80000","-0.12","-0.12","-0.12","3.85","3.85","3.85","1.82","1.82","1.82","3.56","3.56","3.56","4.29","4.29","4.29","0.22","0.22","0.22"
