"Step","phirho1 - reward","phirho1 - reward__MIN","phirho1 - reward__MAX","rho-8 - reward","rho-8 - reward__MIN","rho-8 - reward__MAX","rhophi8 - reward","rhophi8 - reward__MIN","rhophi8 - reward__MAX","rhophi10 - reward","rhophi10 - reward__MIN","rhophi10 - reward__MAX","phi10 - reward","phi10 - reward__MIN","phi10 - reward__MAX","Threefish-phi1 - reward","Threefish-phi1 - reward__MIN","Threefish-phi1 - reward__MAX","Threefish-phi8 - reward","Threefish-phi8 - reward__MIN","Threefish-phi8 - reward__MAX"
"2000","-0.82","-0.82","-0.82","-0.77","-0.77","-0.77","-0.75","-0.75","-0.75","-0.72","-0.72","-0.72","-0.84","-0.84","-0.84","-0.93","-0.93","-0.93","-0.82","-0.82","-0.82"
"4000","-0.73","-0.73","-0.73","-0.86","-0.86","-0.86","-0.64","-0.64","-0.64","-0.83","-0.83","-0.83","-0.57","-0.57","-0.57","-0.39","-0.39","-0.39","-0.59","-0.59","-0.59"
"6000","-0.69","-0.69","-0.69","-0.69","-0.69","-0.69","-0.65","-0.65","-0.65","-0.71","-0.71","-0.71","-0.73","-0.73","-0.73","-0.85","-0.85","-0.85","-0.9","-0.9","-0.9"
"8000","-0.69","-0.69","-0.69","-0.93","-0.93","-0.93","-0.55","-0.55","-0.55","-0.75","-0.75","-0.75","-0.79","-0.79","-0.79","-0.69","-0.69","-0.69","-0.75","-0.75","-0.75"
"10000","-0.33","-0.33","-0.33","-0.79","-0.79","-0.79","-0.72","-0.72","-0.72","-0.95","-0.95","-0.95","-0.47","-0.47","-0.47","-0.8","-0.8","-0.8","-0.64","-0.64","-0.64"
"12000","-0.54","-0.54","-0.54","-0.59","-0.59","-0.59","-0.89","-0.89","-0.89","-0.47","-0.47","-0.47","-0.31","-0.31","-0.31","-0.43","-0.43","-0.43","-0.75","-0.75","-0.75"
"14000","-0.73","-0.73","-0.73","-0.8","-0.8","-0.8","-0.41","-0.41","-0.41","-0.7","-0.7","-0.7","-0.73","-0.73","-0.73","-0.68","-0.68","-0.68","-0.54","-0.54","-0.54"
"16000","-0.67","-0.67","-0.67","-0.78","-0.78","-0.78","-0.66","-0.66","-0.66","-0.82","-0.82","-0.82","-0.77","-0.77","-0.77","-0.57","-0.57","-0.57","-0.61","-0.61","-0.61"
"18000","-0.33","-0.33","-0.33","-0.58","-0.58","-0.58","-0.75","-0.75","-0.75","-0.12","-0.12","-0.12","-0.6","-0.6","-0.6","-0.56","-0.56","-0.56","-0.62","-0.62","-0.62"
"20000","-0.78","-0.78","-0.78","-0.78","-0.78","-0.78","-0.46","-0.46","-0.46","-0.69","-0.69","-0.69","-0.8","-0.8","-0.8","-0.29","-0.29","-0.29","-0.31","-0.31","-0.31"
"22000","-0.69","-0.69","-0.69","-0.79","-0.79","-0.79","-0.8","-0.8","-0.8","-0.59","-0.59","-0.59","-0.67","-0.67","-0.67","-0.8","-0.8","-0.8","-0.79","-0.79","-0.79"
"24000","-0.61","-0.61","-0.61","-0.59","-0.59","-0.59","-0.36","-0.36","-0.36","-0.5","-0.5","-0.5","-0.56","-0.56","-0.56","-0.81","-0.81","-0.81","-0.78","-0.78","-0.78"
"26000","-0.32","-0.32","-0.32","-0.8","-0.8","-0.8","-0.65","-0.65","-0.65","-0.8","-0.8","-0.8","-0.61","-0.61","-0.61","-0.75","-0.75","-0.75","-0.64","-0.64","-0.64"
"28000","-0.46","-0.46","-0.46","-0.75","-0.75","-0.75","-0.42","-0.42","-0.42","-0.62","-0.62","-0.62","-0.81","-0.81","-0.81","-0.82","-0.82","-0.82","-0.65","-0.65","-0.65"
"30000","-0.67","-0.67","-0.67","-0.62","-0.62","-0.62","-0.54","-0.54","-0.54","-0.58","-0.58","-0.58","-0.47","-0.47","-0.47","-0.8","-0.8","-0.8","-0.53","-0.53","-0.53"
"32000","-0.83","-0.83","-0.83","-0.84","-0.84","-0.84","-0.79","-0.79","-0.79","-0.5","-0.5","-0.5","-0.69","-0.69","-0.69","-0.75","-0.75","-0.75","-0.66","-0.66","-0.66"
"34000","-0.88","-0.88","-0.88","-0.73","-0.73","-0.73","-0.56","-0.56","-0.56","-0.64","-0.64","-0.64","-0.85","-0.85","-0.85","-0.79","-0.79","-0.79","-0.72","-0.72","-0.72"
"36000","-0.69","-0.69","-0.69","-0.83","-0.83","-0.83","-0.22","-0.22","-0.22","-0.53","-0.53","-0.53","-0.74","-0.74","-0.74","0.06","0.06","0.06","-0.72","-0.72","-0.72"
"38000","-0.31","-0.31","-0.31","-0.68","-0.68","-0.68","-0.56","-0.56","-0.56","-0.07","-0.07","-0.07","-0.67","-0.67","-0.67","-0.5","-0.5","-0.5","-0.77","-0.77","-0.77"
"40000","-0.44","-0.44","-0.44","-0.64","-0.64","-0.64","-0.28","-0.28","-0.28","0.46","0.46","0.46","-0.61","-0.61","-0.61","-0.21","-0.21","-0.21","-0.65","-0.65","-0.65"
"42000","-0.83","-0.83","-0.83","-0.62","-0.62","-0.62","-0.68","-0.68","-0.68","-0.85","-0.85","-0.85","-0.47","-0.47","-0.47","-0.9","-0.9","-0.9","-0.75","-0.75","-0.75"
"44000","-0.73","-0.73","-0.73","-0.55","-0.55","-0.55","-0.54","-0.54","-0.54","-0.65","-0.65","-0.65","-0.44","-0.44","-0.44","-0.62","-0.62","-0.62","-0.65","-0.65","-0.65"
"46000","-0.73","-0.73","-0.73","-0.5","-0.5","-0.5","-0.65","-0.65","-0.65","-0.75","-0.75","-0.75","0","0","0","-0.53","-0.53","-0.53","-0.72","-0.72","-0.72"
"48000","-0.62","-0.62","-0.62","-0.8","-0.8","-0.8","-0.21","-0.21","-0.21","-0.59","-0.59","-0.59","-0.41","-0.41","-0.41","-0.61","-0.61","-0.61","-0.56","-0.56","-0.56"
"50000","-0.53","-0.53","-0.53","-0.84","-0.84","-0.84","-0.61","-0.61","-0.61","-0.5","-0.5","-0.5","-0.64","-0.64","-0.64","-0.77","-0.77","-0.77","-0.61","-0.61","-0.61"
"52000","-0.66","-0.66","-0.66","-0.69","-0.69","-0.69","-0.77","-0.77","-0.77","-0.12","-0.12","-0.12","-0.11","-0.11","-0.11","-0.56","-0.56","-0.56","-0.47","-0.47","-0.47"
"54000","-0.95","-0.95","-0.95","-0.38","-0.38","-0.38","-0.81","-0.81","-0.81","-0.7","-0.7","-0.7","-0.25","-0.25","-0.25","-0.46","-0.46","-0.46","-0.33","-0.33","-0.33"
"56000","-0.41","-0.41","-0.41","-0.77","-0.77","-0.77","-0.29","-0.29","-0.29","-0.55","-0.55","-0.55","-0.42","-0.42","-0.42","-0.75","-0.75","-0.75","-0.17","-0.17","-0.17"
"58000","-0.57","-0.57","-0.57","-0.72","-0.72","-0.72","-0.66","-0.66","-0.66","-0.53","-0.53","-0.53","-0.47","-0.47","-0.47","-0.42","-0.42","-0.42","-0.36","-0.36","-0.36"
"60000","-0.78","-0.78","-0.78","-0.85","-0.85","-0.85","-0.68","-0.68","-0.68","-0.39","-0.39","-0.39","-0.17","-0.17","-0.17","-0.55","-0.55","-0.55","-0.62","-0.62","-0.62"
"62000","-0.1","-0.1","-0.1","-0.62","-0.62","-0.62","-0.42","-0.42","-0.42","-0.65","-0.65","-0.65","-0.39","-0.39","-0.39","-0.59","-0.59","-0.59","-0.47","-0.47","-0.47"
"64000","-0.5","-0.5","-0.5","-0.54","-0.54","-0.54","-0.32","-0.32","-0.32","-0.75","-0.75","-0.75","-0.75","-0.75","-0.75","-0.75","-0.75","-0.75","0.31","0.31","0.31"
"66000","-0.62","-0.62","-0.62","-0.73","-0.73","-0.73","-0.5","-0.5","-0.5","-0.25","-0.25","-0.25","0.07","0.07","0.07","-0.47","-0.47","-0.47","-0.53","-0.53","-0.53"
"68000","-0.58","-0.58","-0.58","-0.88","-0.88","-0.88","-0.39","-0.39","-0.39","-0.19","-0.19","-0.19","-0.7","-0.7","-0.7","-0.75","-0.75","-0.75","-0.5","-0.5","-0.5"
"70000","-0.53","-0.53","-0.53","-0.69","-0.69","-0.69","-0.45","-0.45","-0.45","-0.47","-0.47","-0.47","0.2","0.2","0.2","-0.39","-0.39","-0.39","-0.07","-0.07","-0.07"
"72000","0.12","0.12","0.12","-0.72","-0.72","-0.72","-0.5","-0.5","-0.5","-0.36","-0.36","-0.36","-0.61","-0.61","-0.61","-0.42","-0.42","-0.42","-0.43","-0.43","-0.43"
"74000","-0.84","-0.84","-0.84","-0.89","-0.89","-0.89","-0.33","-0.33","-0.33","-0.57","-0.57","-0.57","-0.47","-0.47","-0.47","-0.71","-0.71","-0.71","-0.57","-0.57","-0.57"
"76000","-0.83","-0.83","-0.83","-0.62","-0.62","-0.62","-0.56","-0.56","-0.56","-0.57","-0.57","-0.57","-0.41","-0.41","-0.41","-0.3","-0.3","-0.3","-0.57","-0.57","-0.57"
"78000","-0.72","-0.72","-0.72","-0.81","-0.81","-0.81","-0.61","-0.61","-0.61","-0.12","-0.12","-0.12","-0.43","-0.43","-0.43","-0.7","-0.7","-0.7","-0.56","-0.56","-0.56"
"80000","-0.83","-0.83","-0.83","-0.56","-0.56","-0.56","-0.18","-0.18","-0.18","-0.12","-0.12","-0.12","-0.41","-0.41","-0.41","-0.72","-0.72","-0.72","-0.29","-0.29","-0.29"
"82000","-0.88","-0.88","-0.88","-0.5","-0.5","-0.5","-0.53","-0.53","-0.53","-0.44","-0.44","-0.44","-0.1","-0.1","-0.1","-0.68","-0.68","-0.68","-0.53","-0.53","-0.53"
"84000","-0.75","-0.75","-0.75","-0.78","-0.78","-0.78","-0.34","-0.34","-0.34","-0.08","-0.08","-0.08","-0.33","-0.33","-0.33","-0.43","-0.43","-0.43","-0.42","-0.42","-0.42"
"86000","-0.68","-0.68","-0.68","-0.71","-0.71","-0.71","-0.67","-0.67","-0.67","-0.8","-0.8","-0.8","-0.33","-0.33","-0.33","-0.43","-0.43","-0.43","0.25","0.25","0.25"
"88000","-0.62","-0.62","-0.62","-0.72","-0.72","-0.72","-0.58","-0.58","-0.58","-0.36","-0.36","-0.36","-0.5","-0.5","-0.5","-0.38","-0.38","-0.38","-0.21","-0.21","-0.21"
"90000","-0.46","-0.46","-0.46","-0.69","-0.69","-0.69","-0.66","-0.66","-0.66","-0.59","-0.59","-0.59","0.25","0.25","0.25","-0.53","-0.53","-0.53","-0.47","-0.47","-0.47"
"92000","0.06","0.06","0.06","-0.57","-0.57","-0.57","-0.57","-0.57","-0.57","-0.69","-0.69","-0.69","-0.55","-0.55","-0.55","-0.59","-0.59","-0.59","0.25","0.25","0.25"
"94000","-0.85","-0.85","-0.85","-0.38","-0.38","-0.38","-0.4","-0.4","-0.4","-0.25","-0.25","-0.25","-0.31","-0.31","-0.31","-0.59","-0.59","-0.59","-0.04","-0.04","-0.04"
"96000","-0.65","-0.65","-0.65","-0.9","-0.9","-0.9","-0.65","-0.65","-0.65","-0.44","-0.44","-0.44","-0.31","-0.31","-0.31","-0.75","-0.75","-0.75","-0.45","-0.45","-0.45"
"98000","-0.39","-0.39","-0.39","-0.73","-0.73","-0.73","-0.68","-0.68","-0.68","-0.5","-0.5","-0.5","-0.15","-0.15","-0.15","-0.41","-0.41","-0.41","-0.62","-0.62","-0.62"
"100000","-0.75","-0.75","-0.75","-0.75","-0.75","-0.75","-0.47","-0.47","-0.47","0.31","0.31","0.31","-0.32","-0.32","-0.32","-0.62","-0.62","-0.62","-0.22","-0.22","-0.22"
"102000","-0.32","-0.32","-0.32","-0.86","-0.86","-0.86","-0.71","-0.71","-0.71","-0.35","-0.35","-0.35","-0.42","-0.42","-0.42","-0.46","-0.46","-0.46","-0.44","-0.44","-0.44"
"104000","-0.58","-0.58","-0.58","-0.58","-0.58","-0.58","-0.32","-0.32","-0.32","0.12","0.12","0.12","-0.42","-0.42","-0.42","-0.75","-0.75","-0.75","-0.22","-0.22","-0.22"
"106000","-0.75","-0.75","-0.75","-0.55","-0.55","-0.55","-0.54","-0.54","-0.54","-0.8","-0.8","-0.8","-0.11","-0.11","-0.11","-0.75","-0.75","-0.75","0.29","0.29","0.29"
"108000","-0.8","-0.8","-0.8","-0.81","-0.81","-0.81","-0.33","-0.33","-0.33","0","0","0","0","0","0","-0.86","-0.86","-0.86","-0.39","-0.39","-0.39"
"110000","-0.6","-0.6","-0.6","-0.69","-0.69","-0.69","-0.21","-0.21","-0.21","-0.46","-0.46","-0.46","-0.17","-0.17","-0.17","-0.77","-0.77","-0.77","-0.64","-0.64","-0.64"
"112000","-0.5","-0.5","-0.5","-0.36","-0.36","-0.36","-0.68","-0.68","-0.68","-0.17","-0.17","-0.17","-0.07","-0.07","-0.07","-0.79","-0.79","-0.79","-0.27","-0.27","-0.27"
"114000","-0.59","-0.59","-0.59","-0.72","-0.72","-0.72","-0.34","-0.34","-0.34","-0.77","-0.77","-0.77","-0.42","-0.42","-0.42","-0.62","-0.62","-0.62","-0.36","-0.36","-0.36"
"116000","-0.15","-0.15","-0.15","-0.8","-0.8","-0.8","0.21","0.21","0.21","-0.21","-0.21","-0.21","0.04","0.04","0.04","-0.88","-0.88","-0.88","-0.25","-0.25","-0.25"
"118000","-0.6","-0.6","-0.6","-0.61","-0.61","-0.61","-0.04","-0.04","-0.04","-0.65","-0.65","-0.65","0.3","0.3","0.3","-0.59","-0.59","-0.59","-0.48","-0.48","-0.48"
"120000","-0.56","-0.56","-0.56","-0.8","-0.8","-0.8","-0.12","-0.12","-0.12","-0.07","-0.07","-0.07","-0.04","-0.04","-0.04","-0.75","-0.75","-0.75","-0.64","-0.64","-0.64"
"122000","-0.62","-0.62","-0.62","-0.86","-0.86","-0.86","-0.52","-0.52","-0.52","-0.38","-0.38","-0.38","-0.38","-0.38","-0.38","-0.12","-0.12","-0.12","-0.32","-0.32","-0.32"
"124000","-0.68","-0.68","-0.68","-0.46","-0.46","-0.46","-0.63","-0.63","-0.63","-0.46","-0.46","-0.46","0.25","0.25","0.25","-0.67","-0.67","-0.67","0.04","0.04","0.04"
"126000","-0.67","-0.67","-0.67","-0.78","-0.78","-0.78","-0.06","-0.06","-0.06","-0.18","-0.18","-0.18","0","0","0","-0.64","-0.64","-0.64","-0.47","-0.47","-0.47"
"128000","-0.62","-0.62","-0.62","-0.2","-0.2","-0.2","-0.34","-0.34","-0.34","-0.62","-0.62","-0.62","-0.12","-0.12","-0.12","-0.68","-0.68","-0.68","0.12","0.12","0.12"
"130000","-0.1","-0.1","-0.1","0.04","0.04","0.04","-0.6","-0.6","-0.6","0.35","0.35","0.35","-0.11","-0.11","-0.11","-0.43","-0.43","-0.43","-0.47","-0.47","-0.47"
"132000","-0.66","-0.66","-0.66","-0.68","-0.68","-0.68","0.12","0.12","0.12","-0.42","-0.42","-0.42","0.56","0.56","0.56","-0.66","-0.66","-0.66","-0.12","-0.12","-0.12"
"134000","-0.44","-0.44","-0.44","-0.53","-0.53","-0.53","-0.68","-0.68","-0.68","-0.12","-0.12","-0.12","-0.04","-0.04","-0.04","-0.62","-0.62","-0.62","-0.22","-0.22","-0.22"
"136000","-0.32","-0.32","-0.32","-0.35","-0.35","-0.35","-0.31","-0.31","-0.31","-0.18","-0.18","-0.18","-0.62","-0.62","-0.62","-0.62","-0.62","-0.62","-0.41","-0.41","-0.41"
"138000","-0.62","-0.62","-0.62","-0.7","-0.7","-0.7","0.07","0.07","0.07","-0.2","-0.2","-0.2","-0.62","-0.62","-0.62","-0.85","-0.85","-0.85","0.21","0.21","0.21"
"140000","-0.46","-0.46","-0.46","-0.86","-0.86","-0.86","-0.36","-0.36","-0.36","-0.19","-0.19","-0.19","0.81","0.81","0.81","-0.85","-0.85","-0.85","-0.47","-0.47","-0.47"
"142000","-0.72","-0.72","-0.72","-0.95","-0.95","-0.95","-0.41","-0.41","-0.41","-0.9","-0.9","-0.9","-0.08","-0.08","-0.08","-0.62","-0.62","-0.62","-0.04","-0.04","-0.04"
"144000","-0.8","-0.8","-0.8","-0.81","-0.81","-0.81","-0.6","-0.6","-0.6","-0.36","-0.36","-0.36","0.94","0.94","0.94","-0.77","-0.77","-0.77","0.17","0.17","0.17"
"146000","-0.54","-0.54","-0.54","-0.96","-0.96","-0.96","-0.5","-0.5","-0.5","0.25","0.25","0.25","0","0","0","-0.53","-0.53","-0.53","-0.19","-0.19","-0.19"
"148000","-0.58","-0.58","-0.58","-0.88","-0.88","-0.88","-0.33","-0.33","-0.33","-0.44","-0.44","-0.44","0.5","0.5","0.5","-0.86","-0.86","-0.86","-0.25","-0.25","-0.25"
"150000","-0.82","-0.82","-0.82","-0.88","-0.88","-0.88","-0.03","-0.03","-0.03","-0.11","-0.11","-0.11","-0.25","-0.25","-0.25","-0.82","-0.82","-0.82","-0.28","-0.28","-0.28"
"152000","-0.67","-0.67","-0.67","-0.58","-0.58","-0.58","-0.36","-0.36","-0.36","-0.56","-0.56","-0.56","-0.33","-0.33","-0.33","-0.91","-0.91","-0.91","0.15","0.15","0.15"
"154000","-0.46","-0.46","-0.46","-0.54","-0.54","-0.54","-0.33","-0.33","-0.33","-0.53","-0.53","-0.53","-0.04","-0.04","-0.04","-0.7","-0.7","-0.7","-0.29","-0.29","-0.29"
"156000","-0.53","-0.53","-0.53","0.05","0.05","0.05","-0.72","-0.72","-0.72","-0.29","-0.29","-0.29","0.25","0.25","0.25","-0.71","-0.71","-0.71","-0.32","-0.32","-0.32"
"158000","-0.66","-0.66","-0.66","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","0.08","0.08","0.08","-0.25","-0.25","-0.25","-0.57","-0.57","-0.57","-0.36","-0.36","-0.36"
"160000","-0.61","-0.61","-0.61","-0.53","-0.53","-0.53","0.5","0.5","0.5","-0.32","-0.32","-0.32","-0.11","-0.11","-0.11","-0.57","-0.57","-0.57","-0.33","-0.33","-0.33"
"162000","-0.36","-0.36","-0.36","-0.66","-0.66","-0.66","0.09","0.09","0.09","-0.12","-0.12","-0.12","-0.31","-0.31","-0.31","-0.72","-0.72","-0.72","-0.5","-0.5","-0.5"
"164000","-0.75","-0.75","-0.75","-0.53","-0.53","-0.53","-0.39","-0.39","-0.39","0","0","0","-0.46","-0.46","-0.46","-0.62","-0.62","-0.62","-0.28","-0.28","-0.28"
"166000","-0.82","-0.82","-0.82","-0.62","-0.62","-0.62","-0.33","-0.33","-0.33","-0.86","-0.86","-0.86","-0.33","-0.33","-0.33","-0.98","-0.98","-0.98","0.14","0.14","0.14"
"168000","-0.81","-0.81","-0.81","-0.35","-0.35","-0.35","-0.42","-0.42","-0.42","-0.69","-0.69","-0.69","-0.09","-0.09","-0.09","-0.82","-0.82","-0.82","-0.11","-0.11","-0.11"
"170000","-0.64","-0.64","-0.64","-0.39","-0.39","-0.39","-0.55","-0.55","-0.55","-0.72","-0.72","-0.72","0.33","0.33","0.33","-0.72","-0.72","-0.72","-0.1","-0.1","-0.1"
"172000","-0.36","-0.36","-0.36","-0.58","-0.58","-0.58","-0.18","-0.18","-0.18","-0.36","-0.36","-0.36","0.04","0.04","0.04","-0.72","-0.72","-0.72","0.69","0.69","0.69"
"174000","-0.61","-0.61","-0.61","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.25","-0.25","-0.25","-0.15","-0.15","-0.15","-0.62","-0.62","-0.62","-0.09","-0.09","-0.09"
"176000","-0.4","-0.4","-0.4","-0.68","-0.68","-0.68","-0.25","-0.25","-0.25","-0.57","-0.57","-0.57","0.38","0.38","0.38","-0.86","-0.86","-0.86","0.58","0.58","0.58"
"178000","-0.72","-0.72","-0.72","-0.79","-0.79","-0.79","0.25","0.25","0.25","-0.43","-0.43","-0.43","0.05","0.05","0.05","-0.57","-0.57","-0.57","0.55","0.55","0.55"
"180000","-0.43","-0.43","-0.43","-0.85","-0.85","-0.85","0.43","0.43","0.43","-0.12","-0.12","-0.12","0.15","0.15","0.15","-0.54","-0.54","-0.54","0.6","0.6","0.6"
"182000","-0.46","-0.46","-0.46","-0.72","-0.72","-0.72","-0.36","-0.36","-0.36","-0.69","-0.69","-0.69","-0.14","-0.14","-0.14","-0.3","-0.3","-0.3","0.2","0.2","0.2"
"184000","-0.56","-0.56","-0.56","-0.57","-0.57","-0.57","-0.38","-0.38","-0.38","0.38","0.38","0.38","-0.5","-0.5","-0.5","-0.47","-0.47","-0.47","0.21","0.21","0.21"
"186000","-0.78","-0.78","-0.78","-0.12","-0.12","-0.12","-0.5","-0.5","-0.5","0","0","0","0.04","0.04","0.04","-0.86","-0.86","-0.86","-0.21","-0.21","-0.21"
"188000","-0.79","-0.79","-0.79","-0.32","-0.32","-0.32","-0.48","-0.48","-0.48","-0.57","-0.57","-0.57","-0.67","-0.67","-0.67","-0.85","-0.85","-0.85","-0.12","-0.12","-0.12"
